שם הכנסה,שם סניף,תאריך,סכום,הערות,
לינקנט,מודיעין עילית,30/12/2024,"12,270.00",,12
לינקנט,אלעזר המודעי,30/12/2024,"13,387.00",,12
לינקנט,החוזה 60,30/12/2024,"18,616.00",,12
לינקנט,ר עקיבא,30/12/2024,"15,370.00",,12
לינקנט,החוזה 25,30/12/2024,"13,760.00",,12
לינקנט,הרן,30/12/2024,"27,287.00",,12
לינקנט,"הרב ש""ך",30/12/2024,"7,847.00",,12
לינקנט,הרן,30/01/2025,"26,380.00",,1
לינקנט,החוזה 60,30/01/2025,"21,480.00",,1
לינקנט,אלעזר המודעי,30/01/2025,"16,181.00",,1
לינקנט,מודיעין עילית,30/01/2025,"13,399.00",,1
לינקנט,ר עקיבא,30/01/2025,"17,440.00",,1
לינקנט,"הרב ש""ך",30/01/2025,"8,670.00",,1
לינקנט,החוזה 25,30/01/2025,"12,043.00",,1
לינקנט,מודיעין עילית,28/02/2025,"14,179.00",,2
לינקנט,החוזה 60,28/02/2025,"21,527.00",,2
לינקנט,ר עקיבא,28/02/2025,"14,880.00",,2
לינקנט,הרן,28/02/2025,"23,817.00",,2
לינקנט,"הרב ש""ך",28/02/2025,"7,852.00",,2
לינקנט,החוזה 25,28/02/2025,"11,601.00",,2
לינקנט,אלעזר המודעי,28/02/2025,"14,995.00",,2
לינקנט,משרד,28/02/2025,"30,000.00",,2
לינקנט,מודיעין עילית,31/03/2025,"16,382.00",,3
לינקנט,אלעזר המודעי,31/03/2025,"17,545.00",,3
לינקנט,החוזה 60,31/03/2025,"24,074.00",,3
לינקנט,ר עקיבא,31/03/2025,"15,005.00",,3
לינקנט,החוזה 25,31/03/2025,"13,089.00",,3
לינקנט,הרן,31/03/2025,"31,481.00",,3
לינקנט,"הרב ש""ך",31/03/2025,"8,539.00",,3
רוטנברג,משרד,27/04/2025,"3,000.00",,4
לינקנט,הרן,10/04/2025,857.14,,4
לינקנט,החוזה 60,10/04/2025,857.14,,4
לינקנט,אלעזר המודעי,10/04/2025,857.14,,4
לינקנט,מודיעין עילית,10/04/2025,857.14,,4
לינקנט,ר עקיבא,10/04/2025,857.14,,4
לינקנט,"הרב ש""ך",10/04/2025,857.14,,4
לינקנט,החוזה 25,10/04/2025,857.14,,4
לינקנט,מודיעין עילית,11/04/2025,"9,488.00",,4
לינקנט,אלעזר המודעי,12/04/2025,"14,447.00",,4
לינקנט,החוזה 60,13/04/2025,"18,490.00",,4
לינקנט,ר עקיבא,14/04/2025,"13,984.00",,4
